135,99,65
137,102,67
129,93,61
118,79,45
43,23,9
41,17,4
46,21,5
45,19,5
50,21,7
52,22,8
54,23,9
42,18,7
43,17,7
71,32,11
57,27,10
54,28,14
43,19,9
37,15,4
25,14,10
22,13,10
23,14,11
40,24,18
44,19,7
46,20,8
46,20,7
69,32,13
52,30,16
37,20,11
33,17,10
33,11,1
32,11,1
30,11,1
27,10,1
27,10,1
26,10,1
47,33,24
143,109,74
59,31,17
18,13,16
18,12,16
15,8,8
16,8,8
16,8,8
15,7,4
15,7,4
26,10,6
12,7,6
15,9,9
13,8,7
14,8,7
19,16,25
18,15,23
17,13,19
15,11,14
22,18,25
21,16,24
20,15,18
25,19,22
24,18,22
19,13,18
19,13,18
19,13,18
19,13,18
19,13,18
19,14,19
19,13,18
20,14,19
19,13,18
21,15,20
24,19,25
25,19,26
25,19,25
25,19,25
25,19,25
25,19,26
18,11,15
18,11,15
19,13,16
20,13,16
19,12,16
19,14,16
20,14,17
19,14,16
19,14,16
19,14,16
